"participant","sex","age","music_yrs","block","trial_n","stim","stim_idx","trial_rep_n","resp","RT","dB_ratio"
"2201","f",28,7,2,18,"yl5.wav",5,2,0,2.0183,-12
"2201","f",28,7,2,19,"yl6.wav",6,2,0,4.1396,0
"2201","f",28,7,2,20,"yl7.wav",7,2,0,2.4509,12
"2201","f",28,7,2,21,"yl2.wav",2,2,0,1.6225,-48
"2201","f",28,7,2,22,"yl9.wav",9,2,0,5.6792,36
"2201","f",28,7,3,1,"yl7.wav",7,1,0,1.2518,12
"2201","f",28,7,3,2,"yl4.wav",4,1,0,1.3263,-24
"2201","f",28,7,3,3,"yl9.wav",9,1,0,1.6184,36
"2201","f",28,7,3,4,"yl1.wav",1,1,0,1.3875,-60
"2201","f",28,7,3,5,"yl3.wav",3,1,0,1.9837,-36
"2201","f",28,7,3,6,"yl2.wav",2,1,0,3.352,-48
"2201","f",28,7,3,7,"yl5.wav",5,1,0,1.779,-12
"2201","f",28,7,3,8,"yl8.wav",8,1,0,1.9342,24
"2201","f",28,7,3,9,"yl6.wav",6,1,0,2.151,0
"2201","f",28,7,3,10,"yl11.wav",11,1,1,1.6351,60
"2201","f",28,7,3,11,"yl10.wav",10,1,1,1.5122,48
"2201","f",28,7,3,12,"yl4.wav",4,2,0,1.3853,-24
"2201","f",28,7,3,13,"yl8.wav",8,2,1,1.7017,24
"2201","f",28,7,3,14,"yl5.wav",5,2,1,2.7673,-12
"2201","f",28,7,3,15,"yl3.wav",3,2,0,2.3009,-36
"2201","f",28,7,3,16,"yl9.wav",9,2,1,1.9517,36
"2201","f",28,7,3,17,"yl7.wav",7,2,1,1.5598,12
"2201","f",28,7,3,18,"yl11.wav",11,2,1,1.1451,60
"2201","f",28,7,3,19,"yl6.wav",6,2,0,1.3923,0
"2201","f",28,7,3,20,"yl1.wav",1,2,0,1.2286,-60
"2201","f",28,7,3,21,"yl10.wav",10,2,0,2.0002,48
"2201","f",28,7,3,22,"yl2.wav",2,2,0,1.9086,-48
"2802","f",20,9,1,1,"yl8.wav",8,1,1,10.407,24
"2802","f",20,9,1,2,"yl5.wav",5,1,1,10.18,-12
"2802","f",20,9,1,3,"yl6.wav",6,1,1,5.487,0
